,player,team,opponent,market,line,book,bet_side,bet_odds,predicted_score,season_avg,avg_last_10,over_rate_last_10,edge_last_10,avg_last_7,over_rate_last_7,edge_last_7,over_prob,over_odds,under_prob,under_odds,ml_prob_over,ml_prob_pct,ml_conf_tier,ml_odds_over,unified_side,unified_pick,kelly_full,kelly_half,confidence_pct,game_time
281,Jose Alvarado,NOP,MIN,ra,8.5,PrizePicks,Under,-300,6.1,5.4,6.2,0.25,-2.3,7.29,0.33,-1.21,0.25,300,0.75,-300,0.488,48.8,RED (Low),105,Pass,Pass (ML near 50/50),,,15,2025-12-03T01:10:00.000Z
70,Cam Spencer,MEM,SAS,ra,8.5,PrizePicks,Under,-300,5.32,3.91,6.1,0.25,-2.4,6.57,0.33,-1.93,0.25,300,0.75,-300,0.497,49.7,RED (Low),101,Pass,Pass (ML near 50/50),,,15,2025-12-03T01:10:00.000Z
75,Cam Whitmore,WAS,PHI,ra,6.5,PrizePicks,Under,-300,4.16,4.09,4.1,0.25,-2.4,4.43,0.33,-2.07,0.25,300,0.75,-300,0.465,46.5,RED (Low),115,Pass,Pass (ML near 50/50),,,15,2025-12-03T00:10:00.000Z
79,Cason Wallace,OKC,GSW,points,10.5,PrizePicks,Under,-300,8.07,7.66,8.1,0.25,-2.4,8.86,0.33,-1.64,0.25,300,0.75,-300,0.234,23.4,RED (Low),328,Under,Under (Strong agreement),0.065,0.0325,15,2025-12-03T04:10:00.000Z
357,Mikal Bridges,NYK,BOS,ra,10.5,PrizePicks,Under,-300,7.52,6.77,8.1,0.25,-2.4,7.86,0.22,-2.64,0.25,300,0.75,-300,0.505,50.5,RED (Low),-102,Pass,Pass (ML near 50/50),,,15,2025-12-03T01:10:00.000Z
475,Trey Murphy,NOP,MIN,pra,32.5,PrizePicks,Under,-300,25.58,20.14,30.1,0.25,-2.4,27.43,0.11,-5.07,0.25,300,0.75,-300,0.292,29.2,RED (Low),243,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
53,Bub Carrington,WAS,PHI,rebounds,5.5,PrizePicks,Under,-300,3.36,4.04,3,0.25,-2.5,2.71,0.22,-2.79,0.25,300,0.75,-300,0.233,23.3,RED (Low),330,Under,Under (Strong agreement),0.0687,0.0343,15,2025-12-03T00:10:00.000Z
58,Buddy Hield,GSW,OKC,ra,6.5,PrizePicks,Under,-300,5.06,6.51,4,0.25,-2.5,4.29,0.33,-2.21,0.25,300,0.75,-300,0.479,47.9,RED (Low),109,Pass,Pass (ML near 50/50),,,15,2025-12-03T04:10:00.000Z
373,Mitchell Robinson,NYK,BOS,points,6.5,PrizePicks,Under,-300,5.3,7.68,4,0.25,-2.5,3.14,0.11,-3.36,0.25,300,0.75,-300,0.314,31.4,RED (Low),219,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
381,Moses Moody,GSW,OKC,ra,7.5,PrizePicks,Under,-300,4.44,3.24,5,0.25,-2.5,5.71,0.33,-1.79,0.25,300,0.75,-300,0.513,51.3,RED (Low),-105,Pass,Pass (ML near 50/50),,,15,2025-12-03T04:10:00.000Z
29,Anthony Edwards,MIN,NOP,rebounds,7.5,PrizePicks,Under,-300,4.95,5.26,4.9,0.25,-2.6,4.43,0.22,-3.07,0.25,300,0.75,-300,0.276,27.6,RED (Low),263,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
498,Will Richard,GSW,OKC,points,9.5,PrizePicks,Under,-300,7.47,8.42,6.9,0.25,-2.6,6.71,0.22,-2.79,0.25,300,0.75,-300,0.237,23.7,RED (Low),323,Under,Under (Strong agreement),0.0537,0.0269,15,2025-12-03T04:10:00.000Z
107,Derik Queen,NOP,MIN,assists,7.5,PrizePicks,Under,-300,4.24,3.38,4.8,0.25,-2.7,4.86,0.33,-2.64,0.25,300,0.75,-300,0.202,20.2,RED (Low),395,Under,Under (Strong agreement),0.1915,0.0958,15,2025-12-03T01:10:00.000Z
229,Jaylen Brown,BOS,NYK,ra,15.5,PrizePicks,Under,-300,11.17,8.05,12.8,0.25,-2.7,14.14,0.33,-1.36,0.25,300,0.75,-300,0.469,46.9,RED (Low),113,Pass,Pass (ML near 50/50),,,15,2025-12-03T01:10:00.000Z
88,Cedric Coward,MEM,SAS,rebounds,8.5,PrizePicks,Under,-300,5.8,5.95,5.7,0.25,-2.8,5.71,0.33,-2.79,0.25,300,0.75,-300,0.27,27,RED (Low),270,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
209,Jamal Shead,TOR,POR,assists,8.5,PrizePicks,Under,-300,5.26,4.46,5.7,0.25,-2.8,6,0.33,-2.5,0.25,300,0.75,-300,0.195,19.5,RED (Low),413,Under,Under (Strong agreement),0.2198,0.1099,15,2025-12-03T00:40:00.000Z
111,Derik Queen,NOP,MIN,ra,14.5,PrizePicks,Under,-300,10.58,9.52,11.5,0.25,-3,10.86,0.22,-3.64,0.25,300,0.75,-300,0.457,45.7,RED (Low),119,Pass,Pass (ML near 50/50),,,15,2025-12-03T01:10:00.000Z
474,Trey Murphy,NOP,MIN,points,24.5,PrizePicks,Under,-300,18.18,14.16,21.5,0.25,-3,19.57,0.22,-4.93,0.25,300,0.75,-300,0.289,28.9,RED (Low),246,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
500,Will Richard,GSW,OKC,ra,6.5,PrizePicks,Under,-300,3.8,3.79,3.5,0.25,-3,4.43,0.33,-2.07,0.25,300,0.75,-300,0.463,46.3,RED (Low),116,Pass,Pass (ML near 50/50),,,15,2025-12-03T04:10:00.000Z
28,Anthony Edwards,MIN,NOP,ra,12.5,PrizePicks,Under,-300,9.25,9.45,9.4,0.25,-3.1,8.57,0.22,-3.93,0.25,300,0.75,-300,0.454,45.4,RED (Low),120,Pass,Pass (ML near 50/50),,,15,2025-12-03T01:10:00.000Z
316,Karl-Anthony Towns,NYK,BOS,pra,40.5,PrizePicks,Under,-300,37.04,37.28,37.4,0.25,-3.1,35.86,0.22,-4.64,0.25,300,0.75,-300,0.303,30.3,RED (Low),230,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
106,Deni Avdija,POR,TOR,rebounds,10.5,PrizePicks,Under,-300,7.03,6.27,7.3,0.25,-3.2,8,0.33,-2.5,0.25,300,0.75,-300,0.281,28.1,RED (Low),256,Under,Under (Strong agreement),,,15,2025-12-03T00:40:00.000Z
356,Mikal Bridges,NYK,BOS,pra,27.5,PrizePicks,Under,-300,23.32,21.57,24.3,0.25,-3.2,24.86,0.22,-2.64,0.25,300,0.75,-300,0.257,25.7,RED (Low),290,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
16,Andre Drummond,PHI,WAS,ra,15.5,PrizePicks,Under,-300,12.55,13.31,12.2,0.25,-3.3,11.71,0.33,-3.79,0.25,300,0.75,-300,0.447,44.7,RED (Low),123,Under,Under (Lean agreement),,,15,2025-12-03T00:10:00.000Z
206,Jalen Williams,OKC,GSW,pra,34.5,PrizePicks,Under,-300,29.78,27.03,31.2,0.25,-3.3,32.43,0.33,-2.07,0.25,300,0.75,-300,0.281,28.1,RED (Low),256,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
355,Mikal Bridges,NYK,BOS,points,19.5,PrizePicks,Under,-300,15.8,14.8,16.2,0.25,-3.3,17,0.22,-2.5,0.25,300,0.75,-300,0.262,26.2,RED (Low),281,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
415,Quinten Post,GSW,OKC,points,10.5,PrizePicks,Under,-300,7.59,7.62,7,0.25,-3.5,8.71,0.33,-1.79,0.25,300,0.75,-300,0.234,23.4,RED (Low),328,Under,Under (Strong agreement),0.0659,0.0329,15,2025-12-03T04:10:00.000Z
507,Yves Missi,NOP,MIN,rebounds,9.5,PrizePicks,Under,-300,6.87,7.79,5.9,0.25,-3.6,7,0.33,-2.5,0.25,300,0.75,-300,0.273,27.3,RED (Low),266,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
411,Quentin Grimes,PHI,WAS,ra,11.5,PrizePicks,Under,-300,6.75,5.3,7.8,0.25,-3.7,7.57,0.33,-3.93,0.25,300,0.75,-300,0.498,49.8,RED (Low),101,Pass,Pass (ML near 50/50),,,15,2025-12-03T00:10:00.000Z
255,Jimmy Butler,GSW,OKC,points,25.5,PrizePicks,Under,-300,20.4,18.34,21.6,0.25,-3.9,22.14,0.22,-3.36,0.25,300,0.75,-300,0.32,32,RED (Low),213,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
322,Keldon Johnson,SAS,MEM,pra,27.5,PrizePicks,Under,-300,24.01,23.03,23.5,0.25,-4,27,0.33,-0.5,0.25,300,0.75,-300,0.257,25.7,RED (Low),289,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
268,Jordan Clarkson,NYK,BOS,pra,20.5,PrizePicks,Under,-300,18.37,22.06,16.3,0.25,-4.2,15.14,0.22,-5.36,0.25,300,0.75,-300,0.281,28.1,RED (Low),256,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
397,Paul George,PHI,WAS,points,19.5,PrizePicks,Under,-300,17.03,20.56,15.3,0.25,-4.2,13.43,0.22,-6.07,0.25,300,0.75,-300,0.36,36,RED (Low),178,Under,Under (Lean agreement),,,15,2025-12-03T00:10:00.000Z
183,Ja'Kobe Walter,TOR,POR,pra,14.5,PrizePicks,Under,-300,11.37,11.87,10.2,0.25,-4.3,12.71,0.33,-1.79,0.25,300,0.75,-300,0.255,25.5,RED (Low),293,Under,Under (Strong agreement),,,15,2025-12-03T00:40:00.000Z
339,Kyshawn George,WAS,PHI,ra,14.5,PrizePicks,Under,-300,9.42,7.49,10.2,0.25,-4.3,11.71,0.33,-2.79,0.25,300,0.75,-300,0.494,49.4,RED (Low),103,Pass,Pass (ML near 50/50),,,15,2025-12-03T00:10:00.000Z
410,Quentin Grimes,PHI,WAS,pra,28.5,PrizePicks,Under,-300,21.21,16.17,24.2,0.25,-4.3,25.29,0.33,-3.21,0.25,300,0.75,-300,0.264,26.4,RED (Low),278,Under,Under (Strong agreement),,,15,2025-12-03T00:10:00.000Z
155,Gary Payton,GSW,OKC,ra,8.5,PrizePicks,Under,-300,6.81,10.66,4,0.25,-4.5,4.71,0.33,-3.79,0.25,300,0.75,-300,0.473,47.3,RED (Low),111,Pass,Pass (ML near 50/50),,,15,2025-12-03T04:10:00.000Z
385,Naz Reid,MIN,NOP,points,19.5,PrizePicks,Under,-300,13.79,11.64,14.9,0.25,-4.6,15.86,0.33,-3.64,0.25,300,0.75,-300,0.285,28.5,RED (Low),250,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
321,Keldon Johnson,SAS,MEM,points,18.5,PrizePicks,Under,-300,15.07,15.45,13.8,0.25,-4.7,16.86,0.33,-1.64,0.25,300,0.75,-300,0.267,26.7,RED (Low),275,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
56,Buddy Hield,GSW,OKC,points,11.5,PrizePicks,Under,-300,10.29,14.81,6.7,0.25,-4.8,8.43,0.33,-3.07,0.25,300,0.75,-300,0.347,34.7,RED (Low),188,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
439,Sam Hauser,BOS,NYK,points,10.5,PrizePicks,Under,-300,6.56,7.37,5.6,0.25,-4.9,6.86,0.33,-3.64,0.25,300,0.75,-300,0.249,24.9,RED (Low),301,Under,Under (Strong agreement),0.0033,0.0016,15,2025-12-03T01:10:00.000Z
116,Derrick White,BOS,NYK,pra,32.5,PrizePicks,Under,-300,24.78,20.95,27.5,0.25,-5,27,0.33,-5.5,0.25,300,0.75,-300,0.298,29.8,RED (Low),235,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
130,Donovan Clingan,POR,TOR,pra,29.5,PrizePicks,Under,-300,22.23,16.93,24.5,0.25,-5,28.29,0.33,-1.21,0.25,300,0.75,-300,0.259,25.9,RED (Low),286,Under,Under (Strong agreement),,,15,2025-12-03T00:40:00.000Z
262,Jonathan Kuminga,GSW,OKC,pra,24.5,PrizePicks,Under,-300,18.63,18.5,19.5,0.25,-5,17.14,0.22,-7.36,0.25,300,0.75,-300,0.241,24.1,RED (Low),315,Under,Under (Strong agreement),0.0351,0.0175,15,2025-12-03T04:10:00.000Z
379,Moses Moody,GSW,OKC,points,17.5,PrizePicks,Under,-300,10.57,7.36,12.5,0.25,-5,13.14,0.22,-4.36,0.25,300,0.75,-300,0.275,27.5,RED (Low),264,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
380,Moses Moody,GSW,OKC,pra,22.5,PrizePicks,Under,-300,15.01,10.61,17.5,0.25,-5,18.86,0.22,-3.64,0.25,300,0.75,-300,0.275,27.5,RED (Low),263,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
69,Cam Spencer,MEM,SAS,pra,22.5,PrizePicks,Under,-300,15.33,10.91,17.4,0.25,-5.1,20,0.33,-2.5,0.25,300,0.75,-300,0.252,25.2,RED (Low),297,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
68,Cam Spencer,MEM,SAS,points,16.5,PrizePicks,Under,-300,10.01,7,11.3,0.25,-5.2,13.43,0.33,-3.07,0.25,300,0.75,-300,0.274,27.4,RED (Low),265,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
285,Josh Hart,NYK,BOS,points,19.5,PrizePicks,Under,-300,12.89,10.36,14,0.25,-5.5,15.71,0.33,-3.79,0.25,300,0.75,-300,0.279,27.9,RED (Low),258,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
165,Harrison Barnes,SAS,MEM,pra,23.5,PrizePicks,Under,-300,19.37,20.38,17.9,0.25,-5.6,20.29,0.33,-3.21,0.25,300,0.75,-300,0.23,23,RED (Low),335,Under,Under (Strong agreement),0.081,0.0405,15,2025-12-03T01:10:00.000Z
337,Kyshawn George,WAS,PHI,points,19.5,PrizePicks,Under,-300,12.46,10.02,13.7,0.25,-5.8,14.86,0.33,-4.64,0.25,300,0.75,-300,0.277,27.7,RED (Low),261,Under,Under (Strong agreement),,,15,2025-12-03T00:10:00.000Z
142,Draymond Green,GSW,OKC,pra,25.5,PrizePicks,Under,-300,20.66,21.2,19.6,0.25,-5.9,21.71,0.22,-3.79,0.25,300,0.75,-300,0.244,24.4,RED (Low),310,Under,Under (Strong agreement),0.0234,0.0117,15,2025-12-03T04:10:00.000Z
227,Jaylen Brown,BOS,NYK,points,34.5,PrizePicks,Under,-300,25.32,19.27,28.6,0.25,-5.9,30.86,0.33,-3.64,0.25,300,0.75,-300,0.329,32.9,RED (Low),204,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
487,VJ Edgecombe,PHI,WAS,pra,27.5,PrizePicks,Under,-300,22.93,24.88,21.6,0.25,-5.9,21.71,0.33,-5.79,0.25,300,0.75,-300,0.26,26,RED (Low),284,Under,Under (Strong agreement),,,15,2025-12-03T00:10:00.000Z
403,Payton Pritchard,BOS,NYK,points,24.5,PrizePicks,Under,-300,15.53,9.54,18.5,0.25,-6,21.57,0.33,-2.93,0.25,300,0.75,-300,0.292,29.2,RED (Low),242,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
510,Zach Edey,MEM,SAS,points,18.5,PrizePicks,Under,-300,11.59,9.72,12.4,0.25,-6.1,13.71,0.33,-4.79,0.25,300,0.75,-300,0.28,28,RED (Low),257,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
164,Harrison Barnes,SAS,MEM,points,18.5,PrizePicks,Under,-300,13.27,13.88,12.3,0.25,-6.2,14,0.33,-4.5,0.25,300,0.75,-300,0.266,26.6,RED (Low),276,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
297,Julian Champagnie,SAS,MEM,points,17.5,PrizePicks,Under,-300,10.7,8.81,11.3,0.25,-6.2,13.29,0.33,-4.21,0.25,300,0.75,-300,0.288,28.8,RED (Low),247,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
62,CJ McCollum,WAS,PHI,points,29.5,PrizePicks,Under,-300,21.46,19.56,23.1,0.25,-6.4,22,0.22,-7.5,0.25,300,0.75,-300,0.317,31.7,RED (Low),216,Under,Under (Strong agreement),,,15,2025-12-03T00:10:00.000Z
200,Jalen Brunson,NYK,BOS,pra,44.5,PrizePicks,Under,-300,33.58,26.72,38.1,0.25,-6.4,38.29,0.22,-6.21,0.25,300,0.75,-300,0.319,31.9,RED (Low),213,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
516,Zion Williamson,NOP,MIN,points,28.5,PrizePicks,Under,-300,23.12,24.55,22.1,0.25,-6.4,22.29,0.33,-6.21,0.25,300,0.75,-300,0.286,28.6,RED (Low),250,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
481,Tyrese Maxey,PHI,WAS,pra,49.5,PrizePicks,Under,-300,37.22,27.91,43,0.25,-6.5,44.29,0.33,-5.21,0.25,300,0.75,-300,0.331,33.1,RED (Low),202,Under,Under (Strong agreement),,,15,2025-12-03T00:10:00.000Z
440,Sam Hauser,BOS,NYK,pra,17.5,PrizePicks,Under,-300,11.33,11.2,10.9,0.25,-6.6,12.43,0.33,-5.07,0.25,300,0.75,-300,0.254,25.4,RED (Low),294,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
261,Jonathan Kuminga,GSW,OKC,points,18.5,PrizePicks,Under,-300,11.61,12.55,11.7,0.25,-6.8,9.57,0.22,-8.93,0.25,300,0.75,-300,0.267,26.7,RED (Low),275,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
279,Jose Alvarado,NOP,MIN,points,17.5,PrizePicks,Under,-300,9.64,8.21,10.6,0.25,-6.9,10.57,0.22,-6.93,0.25,300,0.75,-300,0.288,28.8,RED (Low),247,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
315,Karl-Anthony Towns,NYK,BOS,points,29.5,PrizePicks,Under,-300,22.57,23.03,22.6,0.25,-6.9,21.57,0.22,-7.93,0.25,300,0.75,-300,0.301,30.1,RED (Low),232,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
511,Zach Edey,MEM,SAS,pra,31.5,PrizePicks,Under,-300,22.84,19.3,24.6,0.25,-6.9,26.43,0.33,-5.07,0.25,300,0.75,-300,0.259,25.9,RED (Low),286,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
38,Brandin Podziemski,GSW,OKC,points,19.5,PrizePicks,Under,-300,12.08,10.62,12.5,0.25,-7,14.14,0.33,-5.36,0.25,300,0.75,-300,0.276,27.6,RED (Low),262,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
152,Gary Payton,GSW,OKC,fs,17.5,PrizePicks,Over,300,20.3,35.01,10.3,0.25,-7.2,10.87,0.33,-6.63,0.25,300,0.75,-300,0.539,53.9,RED (Low),-117,Pass,Pass (ML near 50/50),,,15,2025-12-03T04:10:00.000Z
368,Miles McBride,NYK,BOS,pra,24.5,PrizePicks,Under,-300,14.78,9.97,16.9,0.25,-7.6,20.14,0.33,-4.36,0.25,300,0.75,-300,0.291,29.1,RED (Low),244,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
280,Jose Alvarado,NOP,MIN,pra,24.5,PrizePicks,Under,-300,15.74,13.61,16.8,0.25,-7.7,17.86,0.33,-6.64,0.25,300,0.75,-300,0.243,24.3,RED (Low),312,Under,Under (Strong agreement),0.0284,0.0142,15,2025-12-03T01:10:00.000Z
57,Buddy Hield,GSW,OKC,pra,18.5,PrizePicks,Under,-300,15.35,21.32,10.7,0.25,-7.8,12.71,0.33,-5.79,0.25,300,0.75,-300,0.3,30,RED (Low),233,Under,Under (Strong agreement),,,15,2025-12-03T04:10:00.000Z
480,Tyrese Maxey,PHI,WAS,points,39.5,PrizePicks,Under,-300,27.26,20.23,31.5,0.25,-8,32.86,0.33,-6.64,0.25,300,0.75,-300,0.333,33.3,RED (Low),200,Under,Under (Strong agreement),,,15,2025-12-03T00:10:00.000Z
348,Marvin Bagley,WAS,PHI,fs,28.5,PrizePicks,Under,-300,21.71,23.05,20.49,0.25,-8.01,21.49,0.33,-7.01,0.25,300,0.75,-300,0.533,53.3,RED (Low),-114,Pass,Pass (ML near 50/50),,,15,2025-12-03T00:10:00.000Z
344,Luke Kornet,SAS,MEM,pra,24.5,PrizePicks,Under,-300,13.35,9.99,15.6,0.25,-8.9,15.57,0.22,-8.93,0.25,300,0.75,-300,0.277,27.7,RED (Low),261,Under,Under (Strong agreement),,,15,2025-12-03T01:10:00.000Z
244,Jerami Grant,POR,TOR,pra,34.5,PrizePicks,Under,-300,23.11,18.81,24.6,0.25,-9.9,28.71,0.33,-5.79,0.25,300,0.75,-300,0.286,28.6,RED (Low),250,Under,Under (Strong agreement),,,15,2025-12-03T00:40:00.000Z
457,Scottie Barnes,TOR,POR,pra,44.5,PrizePicks,Under,-300,32.27,29.89,34,0.25,-10.5,33.57,0.22,-10.93,0.25,300,0.75,-300,0.32,32,RED (Low),213,Under,Under (Strong agreement),,,15,2025-12-03T00:40:00.000Z
371,Mitchell Robinson,NYK,BOS,assists,1.5,PrizePicks,Under,-500,0.71,0.64,0.7,0.17,-0.8,0.86,0.22,-0.64,0.167,500,0.833,-500,0.238,23.8,RED (Low),320,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
89,Chet Holmgren,OKC,GSW,assists,2.5,PrizePicks,Under,-500,1.85,2.23,1.6,0.17,-0.9,1.57,0.22,-0.93,0.167,500,0.833,-500,0.249,24.9,RED (Low),302,Under,Under (Strong agreement),,,10,2025-12-03T04:10:00.000Z
313,Karl-Anthony Towns,NYK,BOS,assists,4.5,PrizePicks,Under,-500,3.32,3.16,3.5,0.17,-1,3.29,0.22,-1.21,0.167,500,0.833,-500,0.211,21.1,RED (Low),375,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
413,Quinten Post,GSW,OKC,assists,2.5,PrizePicks,Under,-500,1.42,1.29,1.4,0.17,-1.1,1.71,0.22,-0.79,0.167,500,0.833,-500,0.205,20.5,RED (Low),389,Under,Under (Strong agreement),,,10,2025-12-03T04:10:00.000Z
295,Julian Champagnie,SAS,MEM,assists,2.5,PrizePicks,Under,-500,1.36,1.31,1.3,0.17,-1.2,1.57,0.22,-0.93,0.167,500,0.833,-500,0.204,20.4,RED (Low),391,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
383,Naz Reid,MIN,NOP,assists,3.5,PrizePicks,Under,-500,1.84,1.37,2.3,0.17,-1.2,1.86,0.11,-1.64,0.167,500,0.833,-500,0.164,16.4,RED (Low),510,Under,Under (Strong agreement),0.0167,0.0084,10,2025-12-03T01:10:00.000Z
460,Shaedon Sharpe,POR,TOR,assists,3.5,PrizePicks,Under,-500,2.3,2.09,2.3,0.17,-1.2,2.71,0.22,-0.79,0.167,500,0.833,-500,0.21,21,RED (Low),377,Under,Under (Strong agreement),,,10,2025-12-03T00:40:00.000Z
502,Yves Missi,NOP,MIN,assists,2.5,PrizePicks,Under,-500,1.28,1.34,1.3,0.17,-1.2,1.14,0.22,-1.36,0.167,500,0.833,-500,0.204,20.4,RED (Low),391,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
132,Donovan Clingan,POR,TOR,rebounds,12.5,PrizePicks,Under,-500,10.17,8.34,11.1,0.17,-1.4,12,0.22,-0.5,0.167,500,0.833,-500,0.293,29.3,RED (Low),241,Under,Under (Strong agreement),,,10,2025-12-03T00:40:00.000Z
265,Jordan Clarkson,NYK,BOS,assists,3.5,PrizePicks,Under,-500,2.36,2.91,2,0.17,-1.5,2,0.22,-1.5,0.167,500,0.833,-500,0.267,26.7,RED (Low),275,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
71,Cam Spencer,MEM,SAS,rebounds,3.5,PrizePicks,Under,-500,1.79,1.57,1.9,0.17,-1.6,2,0.22,-1.5,0.167,500,0.833,-500,0.204,20.4,RED (Low),390,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
162,Harrison Barnes,SAS,MEM,assists,3.5,PrizePicks,Under,-500,1.92,1.76,1.9,0.17,-1.6,2.29,0.22,-1.21,0.167,500,0.833,-500,0.164,16.4,RED (Low),508,Under,Under (Strong agreement),0.0135,0.0068,10,2025-12-03T01:10:00.000Z
189,Jaden McDaniels,MIN,NOP,ra,9.5,PrizePicks,Under,-500,7.04,5.78,7.9,0.17,-1.6,7.86,0.22,-1.64,0.167,500,0.833,-500,0.519,51.9,RED (Low),-108,Pass,Pass (ML near 50/50),,,10,2025-12-03T01:10:00.000Z
312,K. Caldwell-Pope,MEM,SAS,rebounds,3.5,PrizePicks,Under,-500,2.34,2.96,1.9,0.17,-1.6,2,0.22,-1.5,0.167,500,0.833,-500,0.201,20.1,RED (Low),399,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
389,Neemias Queta,BOS,NYK,assists,3.5,PrizePicks,Under,-500,1.42,0.79,1.9,0.17,-1.6,1.71,0.11,-1.79,0.167,500,0.833,-500,0.189,18.9,RED (Low),430,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
406,Payton Pritchard,BOS,NYK,rebounds,6.5,PrizePicks,Under,-500,4.02,2.83,4.8,0.17,-1.7,4.86,0.22,-1.64,0.167,500,0.833,-500,0.232,23.2,RED (Low),330,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
448,Santi Aldama,MEM,SAS,assists,5.5,PrizePicks,Under,-500,3.07,1.98,3.7,0.17,-1.8,4,0.22,-1.5,0.167,500,0.833,-500,0.191,19.1,RED (Low),424,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
191,Jakob Poeltl,TOR,POR,assists,4.5,PrizePicks,Under,-500,2.34,1.83,2.6,0.17,-1.9,2.86,0.22,-1.64,0.167,500,0.833,-500,0.17,17,RED (Low),489,Under,Under (Strong agreement),,,10,2025-12-03T00:40:00.000Z
307,K. Caldwell-Pope,MEM,SAS,assists,4.5,PrizePicks,Under,-500,2.35,1.84,2.6,0.17,-1.9,2.86,0.22,-1.64,0.167,500,0.833,-500,0.17,17,RED (Low),489,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
18,Anfernee Simons,BOS,NYK,assists,5.5,PrizePicks,Under,-500,3.26,3.22,3.5,0.17,-2,2.86,0.11,-2.64,0.167,500,0.833,-500,0.181,18.1,RED (Low),452,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
83,Cedric Coward,MEM,SAS,assists,4.5,PrizePicks,Under,-500,2.51,2.71,2.5,0.17,-2,2.14,0.11,-2.36,0.167,500,0.833,-500,0.182,18.2,RED (Low),450,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
168,Immanuel Quickley,TOR,POR,assists,8.5,PrizePicks,Under,-500,5.52,3.87,6.5,0.17,-2,6.86,0.22,-1.64,0.167,500,0.833,-500,0.206,20.6,RED (Low),386,Under,Under (Strong agreement),,,10,2025-12-03T00:40:00.000Z
196,Jakob Poeltl,TOR,POR,rebounds,11.5,PrizePicks,Under,-500,8.55,7.01,9.5,0.17,-2,9.71,0.22,-1.79,0.167,500,0.833,-500,0.274,27.4,RED (Low),265,Under,Under (Strong agreement),,,10,2025-12-03T00:40:00.000Z
270,Jordan Clarkson,NYK,BOS,rebounds,4.5,PrizePicks,Under,-500,2.78,3.32,2.5,0.17,-2,2.29,0.11,-2.21,0.167,500,0.833,-500,0.207,20.7,RED (Low),384,Under,Under (Strong agreement),,,10,2025-12-03T01:10:00.000Z
