bet_category,player,team,opponent,market,line,bet_side,bet_odds,confidence_pct,game_time,result,actual_stat,game_key,model_spread,win_prob_pct
player_prop,Tre Jones,CHI,MIA,fs,20.0,Over,-2967.134657024852,100.0,2025-11-22 01:10:00+00:00,Not played / not final yet,,,,
player_prop,Jaylon Tyson,CLE,IND,fs,18.5,Over,-294.27074215130074,88.0,2025-11-22 00:10:00+00:00,Not played / not final yet,,,,
